"filename", "language", "CMake", "Markdown", "Batch", "C++", "JSON", "YAML", "Python", "XML", "Ini", "comment", "blank", "total"
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\LKIF2Tools.h", "C++", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\LkIF2TestVC.h", "C++", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 9, 23
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\LkIF2TestVCDlg.h", "C++", 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 9, 52
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\Resource.h", "C++", 0, 0, 0, 392, 0, 0, 0, 0, 0, 6, 2, 400
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\cntAlignController.h", "C++", 0, 0, 0, 59, 0, 0, 0, 0, 0, 5, 4, 68
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\controller.h", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 11, 6, 47
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\coolingController.h", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 2, 27
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\extractingController.h", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 2, 27
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\hardware_feedback.h", "C++", 0, 0, 0, 25, 0, 0, 0, 0, 0, 12, 8, 45
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\heatingController.h", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 2, 27
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\keyence_client.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\mainController.h", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 2, 27
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\sinkingController.h", "C++", 0, 0, 0, 52, 0, 0, 0, 0, 0, 5, 3, 60
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\keyence_lib_static\stdafx.h", "C++", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 22, 64
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\model\cntAlignModel.h", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 3, 23
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\model\coolingModel.h", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 3, 23
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\model\extractingModel.h", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 10, 3, 24
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\model\heatingModel.h", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 3, 23
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\model\mainModel.h", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 3, 23
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\model\model.h", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 10, 2, 23
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\model\sinkingModel.h", "C++", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10, 3, 23
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\sqlite3\sqlite3.h", "C++", 0, 0, 0, 1689, 0, 0, 0, 0, 0, 10472, 332, 12493
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\sqlite3\sqlite3ext.h", "C++", 0, 0, 0, 581, 0, 0, 0, 0, 0, 89, 6, 676
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\cntAlignView.h", "C++", 0, 0, 0, 16, 0, 0, 0, 0, 0, 12, 9, 37
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\coolingView.h", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 13, 7, 31
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\extractingView.h", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 13, 7, 31
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\heatingView.h", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 13, 7, 31
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\mainView.h", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 13, 5, 29
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\mainwindow.h", "C++", 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 7, 48
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\menuDebugView.h", "C++", 0, 0, 0, 21, 0, 0, 0, 0, 0, 13, 9, 43
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\menuEditView.h", "C++", 0, 0, 0, 24, 0, 0, 0, 0, 0, 12, 8, 44
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\pkg\_CPack_Packages\win64\NSIS\wgm_pkg\include\wgm_app\menuFileView.h", "C++", 0, 0, 0, 35, 0, 0, 0, 0, 0, 12, 8, 55
