"filename", "language", "C++", "Markdown", "C", "YAML", "Python", "comment", "blank", "total"
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\tests\axisMock.h", "C++", 26, 0, 0, 0, 0, 0, 5, 31
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\tests\hello_test.cpp", "C++", 5, 0, 0, 0, 0, 3, 1, 9
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\tests\sensorMock.cpp", "C++", 25, 0, 0, 0, 0, 4, 11, 40
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\tests\sensorMock.h", "C++", 14, 0, 0, 0, 0, 0, 6, 20
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\includes\process_feedback.h", "C++", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\includes\processes\aligning_process.h", "C++", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\includes\processes\process_manager.h", "C++", 0, 0, 0, 0, 0, 0, -3, -3
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\includes\systems\cnt_alignment_system.h", "C++", 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\includes\wgm_experiment.h", "C++", 18, 0, 0, 0, 0, 11, 8, 37
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\includes\wgm_user.h", "C++", 9, 0, 0, 0, 0, 0, -1, 8
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\src\main.cpp", "C++", -3, 0, 0, 0, 0, 0, 1, -2
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\src\processes\aligning_process.cpp", "C++", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\src\processes\sinking_process.cpp", "C++", 1, 0, 0, 0, 0, -1, 1, 1
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\src\systems\cnt_alignment_system.cpp", "C++", 22, 0, 0, 0, 0, 0, 0, 22
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\src\systems\wafer_holder_motion_system.cpp", "C++", 1, 0, 0, 0, 0, 5, 3, 9
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\src\wgm_experiment.cpp", "C++", 20, 0, 0, 0, 0, 10, 7, 37
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\src\wgm_monitoring.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\src\wgm_user.cpp", "C++", 26, 0, 0, 0, 0, 2, 4, 32
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\app\cntAlignView.cpp", "C++", 58, 0, 0, 0, 0, 13, 5, 76
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\app\cntAlignView.h", "C++", 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\app\mainwindow.cpp", "C++", 6, 0, 0, 0, 0, -6, 0, 0
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\app\mainwindow.h", "C++", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\app\menuEditView.cpp", "C++", 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\app\menuEditView.h", "C++", 3, 0, 0, 0, 0, 0, -1, 2
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\app\menuFileView.cpp", "C++", 71, 0, 0, 0, 0, 6, 10, 87
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\app\menuFileView.h", "C++", 37, 0, 0, 0, 0, 12, 8, 57
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\app\menuView.h", "C++", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\app\sinkingView.cpp", "C++", 30, 0, 0, 0, 0, 5, -1, 34
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\app\sinkingView.h", "C++", 2, 0, 0, 0, 0, 0, -1, 1
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\businesslogic\cntAlignController.cpp", "C++", 160, 0, 0, 0, 0, 5, 27, 192
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\businesslogic\cntAlignController.h", "C++", 34, 0, 0, 0, 0, 2, 2, 38
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\businesslogic\sinkingController.cpp", "C++", 77, 0, 0, 0, 0, 1, 12, 90
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\src\businesslogic\sinkingController.h", "C++", 12, 0, 0, 0, 0, 2, -1, 13
"Total", "-", 3766, 19, 166083, 39, 6, 88208, 17502, 275623
