Date : 2022-12-21 22:16:09
Directory : c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp
Total : 2266 files,  634389 codes, 220321 comments, 103650 blanks, all 958360 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest-unittest-api_test.cc                                               | C++              |        235 |         49 |         58 |        342 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_all_test.cc                                                        | C++              |         12 |         35 |          1 |         48 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_break_on_failure_unittest.py                                       | Python           |         96 |         72 |         45 |        213 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_break_on_failure_unittest_.cc                                      | C++              |         26 |         49 |         14 |         89 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_catch_exceptions_test.py                                           | Python           |        145 |         58 |         35 |        238 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_catch_exceptions_test_.cc                                          | C++              |        216 |         39 |         57 |        312 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_color_test.py                                                      | Python           |         65 |         38 |         28 |        131 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_color_test_.cc                                                     | C++              |         18 |         45 |          9 |         72 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_env_var_test.py                                                    | Python           |         53 |         37 |         28 |        118 |
| c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_cnt_system_submodule_cpp\dependencies\yaml-cpp\test\gtest-1.8.0\googletest\test\gtest_env_var_test_.cc                                                   | C++              |         68 |         35 |         24 |        127 |
